time,value
1514764800,13857.009769999999
1514768400,13690.13965
1514772000,13488.90039
1514775600,13647.62988
1514779200,13633.42969
1514782800,13637.46973
1514786400,13871.40039
1514790000,13921.53027
1514793600,13759.7998
1514797200,13663.62988
1514800800,13638.75
1514804400,13595.58984
1514808000,13343.82031
1514811600,13250.88965
1514815200,13260.61035
1514818800,13362.12988
1514822400,13288.7998
1514826000,13233.62012
1514829600,13316.55957
1514833200,13324.04004
1514836800,13524.87012
1514840400,13710.65039
1514844000,13672.34961
1514847600,13532.980469999999
1514851200,13934.7002
1514854800,13875.83984
1514858400,13698.11035
1514862000,13575.230469999999
1514865600,13406.86035
1514869200,13213.55957
1514872800,13380.65039
1514876400,13414.76953
1514880000,13515.0
1514883600,13600.59961
1514887200,13715.86035
1514890800,13694.70996
1514894400,13672.13965
1514898000,13998.70996
1514901600,13988.41016
1514905200,13876.82031
1514908800,13914.07031
1514912400,13921.70996
1514916000,14789.63965
1514919600,15306.12988
1514923200,15243.07031
1514926800,15019.75
1514930400,15046.91016
1514934000,14915.61035
1514937600,14974.080080000002
1514941200,14893.9502
1514944800,15111.2998
1514948400,15254.69043
1514952000,15189.13965
1514955600,15176.38965
1514959200,15412.330080000002
1514962800,15435.009769999999
1514966400,15315.80957
1514970000,15161.55957
1514973600,14918.09961
1514977200,14897.9502
1514980800,14912.20996
1514984400,14981.580080000002
1514988000,15079.55957
1514991600,15102.330080000002
1514995200,15234.17969
1514998800,15131.34961
1515002400,14944.019530000001
1515006000,14917.0
1515009600,15005.259769999999
1515013200,15077.7002
1515016800,15065.62012
1515020400,15157.259769999999
1515024000,15176.62012
1515027600,15364.4502
1515031200,15408.66016
1515034800,15262.41016
1515038400,15107.04004
1515042000,14987.04004
1515045600,15079.230469999999
1515049200,14932.80957
1515052800,14885.009769999999
1515056400,14496.46973
1515060000,14632.57031
1515063600,14582.44043
1515067200,14601.169919999998
1515070800,14636.20996
1515074400,14692.009769999999
1515078000,14670.669919999998
1515081600,14545.419919999998
1515085200,14462.759769999999
1515088800,14930.080080000002
1515092400,15039.2002
1515096000,15098.30957
1515099600,15046.17969
1515103200,15092.95996
1515106800,15201.70996
1515110400,15195.080080000002
1515114000,15109.0
1515117600,15208.230469999999
1515121200,15133.769530000001
1515124800,15041.019530000001
1515128400,15074.5498
1515132000,15068.41016
1515135600,14984.330080000002
1515139200,15495.40039
1515142800,16051.580080000002
1515146400,16207.519530000001
1515150000,16158.83984
1515153600,16103.61035
1515157200,16069.15039
1515160800,16131.5
1515164400,16087.580080000002
1515168000,16401.42969
1515171600,16619.0293
1515175200,16571.75
1515178800,16518.71094
1515182400,16611.2207
1515186000,16937.9707
1515189600,17037.15039
1515193200,17126.94922
1515196800,16956.00977
1515200400,17055.06055
1515204000,17093.73047
1515207600,16792.48047
1515211200,16679.84961
1515214800,16736.69922
1515218400,16703.00977
1515222000,16615.17969
1515225600,16615.67969
1515229200,16563.26953
1515232800,16727.33984
1515236400,16737.90039
1515240000,16602.5293
1515243600,16424.53906
1515247200,16554.7207
1515250800,16686.86914
1515254400,16972.67969
1515258000,16940.53906
1515261600,17015.34961
1515265200,16869.43945
1515268800,16916.82031
1515272400,16906.80078
1515276000,17252.84961
1515279600,17214.31055
1515283200,17184.81055
1515286800,17064.94922
1515290400,17038.15039
1515294000,16854.83008
1515297600,16796.78906
1515301200,16827.5
1515304800,16679.15039
1515308400,16782.49023
1515312000,16915.67969
1515315600,16842.60938
1515319200,16798.48047
1515322800,16821.25
1515326400,16681.10938
1515330000,16568.69922
1515333600,16635.16992
1515337200,16621.08008
1515340800,16524.26953
1515344400,16272.5
1515348000,16153.05957
1515351600,16250.04004
1515355200,16208.419919999998
1515358800,16348.169919999998
1515362400,16509.86914
1515366000,16464.21094
1515369600,16302.919919999998
1515373200,16040.03027
1515376800,16114.83984
1515380400,15975.80957
1515384000,15855.40039
1515387600,15972.62988
1515391200,15949.419919999998
1515394800,15976.990230000001
1515398400,15930.0498
1515402000,15618.509769999999
1515405600,15418.019530000001
1515409200,15530.9502
1515412800,15568.94043
1515416400,15498.80957
1515420000,14899.7002
1515423600,14774.25
1515427200,14981.37988
1515430800,14934.4502
1515434400,15135.15039
1515438000,15166.519530000001
1515441600,15182.69043
1515445200,15042.9502
1515448800,14949.69043
1515452400,15005.669919999998
1515456000,15245.66016
1515459600,15324.70996
1515463200,15303.45996
1515466800,15376.20996
1515470400,15390.28027
1515474000,15381.4502
1515477600,15126.41016
1515481200,15227.509769999999
1515484800,15307.669919999998
1515488400,15203.34961
1515492000,14916.0498
1515495600,14862.75
1515499200,14905.32031
1515502800,14790.480469999999
1515506400,14606.42969
1515510000,14775.0498
1515513600,14999.13965
1515517200,14993.769530000001
1515520800,15034.38965
1515524400,14866.019530000001
1515528000,14832.759769999999
1515531600,14816.2002
1515535200,14628.67969
1515538800,14477.17969
1515542400,14517.980469999999
1515546000,14342.0498
1515549600,14327.54004
1515553200,14382.59961
1515556800,14408.32031
1515560400,14373.16016
1515564000,14348.42969
1515567600,14301.9502
1515571200,14141.169919999998
1515574800,13886.53027
1515578400,13926.57031
1515582000,14104.17969
1515585600,14093.42969
1515589200,14095.96973
1515592800,13923.259769999999
1515596400,14513.669919999998
1515600000,14665.05957
1515603600,14590.04004
1515607200,14712.07031
1515610800,14565.11035
1515614400,14535.269530000001
1515618000,14638.259769999999
1515621600,14547.62988
1515625200,14919.490230000001
1515628800,14979.95996
1515632400,14741.009769999999
1515636000,14585.94043
1515639600,14296.37012
1515643200,13617.78027
1515646800,13675.32031
1515650400,13583.480469999999
1515654000,13672.5498
1515657600,13875.84961
1515661200,13803.82031
1515664800,13638.25
1515668400,13509.2998
1515672000,13913.2998
1515675600,13933.019530000001
1515679200,13958.13965
1515682800,14254.62012
1515686400,14174.080080000002
1515690000,13935.79004
1515693600,13893.40039
1515697200,13849.38965
1515700800,13576.30957
